#from Haliday+2006

163	00 41 33.19	+40 55 48.5	-572.9 	6.0	24.35
164	00 41 33.71	+41 12 56.3	-394.0 	6.0	13.66
165	00 41 35.26	+40 45 49.2	-486.6 	6.0	33.00
166	00 41 39.07	+41 04 45.0	-486.2 	9.9	16.75
167	00 41 39.96	+40 46 47.7	-339.3 	6.0	31.76
168	00 41 41.18	+40 52 46.7	-465.2 	6.0	26.22
169	00 41 42.94	+41 16 36.7	-340.1 	6.0	11.54
170	00 41 43.90	+41 04 36.1	-405.8	11.6	16.20
171	00 41 45.38	+41 20 36.5	-313.2 	6.0	11.94
172	00 41 45.45	+40 58 36.2	-463.0 	6.0	20.75
173	00 41 45.89	+41 26 34.4	-443.1 	6.0	15.13
174	00 41 46.06	+41 03 11.9	-426.2 	6.0	16.96
175	00 41 46.25	+41 00 34.4	-510.5 	6.0	19.02
176	00 41 48.35	+41 43 30.2	-316.9 	9.9	29.30
177	00 41 48.92	+40 48 53.5	-397.2 	6.0	29.18
178	00 41 49.66	+41 11 21.6	-341.5 	6.0	11.34
179	00 41 50.14	+41 07 34.0	-401.6 	6.0	13.32
180	00 41 51.79	+40 37 32.8	-527.7 	6.0	39.85
181	00 41 52.35	+41 25 32.2	-218.0 	6.0	13.54
182	00 41 54.55	+41 36 16.5	-143.5 	6.0	22.19
183	00 41 54.96	+40 40 22.4	-507.6 	6.0	36.96
184	00 41 56.79	+41 37 05.3	-196.2	13.5	22.76
185	00 42 00.55	+41 02 05.9	-585.5 	6.0	16.28
186	00 42 01.48	+41 24 21.0	-246.1 	6.0	11.49
187	00 42 01.87	+40 53 22.4	-476.4 	6.0	24.13
188	00 42 03.33	+40 31 39.5	-551.8	11.6	45.15
189	00 42 05.24	+41 16 09.7	-336.4 	6.0 	7.34
190	00 42 06.63	+41 11 33.0	-312.8 	8.2 	8.44
191	00 42 07.70	+41 13 28.2	-425.5 	8.2 	7.38
192	00 42 09.64	+40 52 35.4	-479.7 	6.0	24.44
193	00 42 09.91	+41 35 39.4	-339.0	13.5	20.55
194	00 42 10.27	+41 12 38.0	-414.2 	6.4 	7.30
195	00 42 10.28	+41 08 51.1	-494.5 	4.6 	9.70
196	00 42 10.35	+41 20 45.3	-190.1	13.5 	7.87
197	00 42 10.48	+41 16 05.6	-285.2 	4.6 	6.36
198	00 42 11.05	+41 08 04.4	-474.3 	6.4	10.21
199	00 42 11.55	+41 16 11.5	-316.3 	4.6 	6.16
200	00 42 11.89	+40 49 07.8	-409.0 	8.2	27.70
201	00 42 12.24	+41 07 26.9	-551.5 	8.2	10.58
202	00 42 12.56	+41 26 17.2	-322.1 	8.2	11.77
203	00 42 12.57	+41 13 25.6	-390.5 	3.3 	6.56
204	00 42 12.61	+42 03 42.2	-263.0	11.6	47.93
205	00 42 13.15	+41 09 54.2	-395.5 	6.4 	8.56
206	00 42 13.61	+40 50 28.5	-424.5 	6.0	26.31
207	00 42 13.85	+41 13 36.7	-283.0 	4.6 	6.26
208	00 42 13.86	+41 08 57.9	-319.6 	4.6 	9.18
209	00 42 15.05	+41 15 57.3	-124.1 	4.6 	5.50
210	00 42 15.14	+41 39 09.6	-330.2 	9.9	23.66
211	00 42 15.15	+40 55 32.0	-502.2 	6.0	21.33
212	00 42 15.72	+41 12 43.4	-452.2 	4.6 	6.37
213	00 42 15.92	+41 16 17.3	-334.2 	4.6 	5.34
214	00 42 16.54	+41 11 07.0	-502.8 	4.6 	7.25
215	00 42 17.19	+41 22 36.6	-258.1	13.5 	8.23
216	00 42 17.56	+41 20 32.0	-291.9 	8.2 	6.67
217	00 42 18.64	+41 14 56.7	-253.5 	4.6 	4.97
218	00 42 18.65	+41 16 00.9	-369.4 	4.6 	4.83
219	00 42 19.12	+40 57 08.6	-285.8 	5.5	19.58
220	00 42 19.24	+41 10 06.6	-257.7 	4.6 	7.66
221	00 42 20.09	+41 15 34.3	-405.8 	8.2 	4.59
222	00 42 20.38	+41 07 58.3	-580.7 	4.6 	9.33
223	00 42 20.42	+41 12 41.4	-528.0 	4.6 	5.67
224	00 42 20.79	+41 16 53.1	-181.9 	4.6 	4.48
225	00 42 21.16	+41 09 42.7 	42.0 	4.6 	7.77
226	00 42 21.55	+41 25 19.5	-286.2	13.5	10.13
227	00 42 21.68	+41 09 54.5	-338.6 	4.6 	7.55
228	00 42 21.83	+41 14 11.1	-453.6 	4.6 	4.66
229	00 42 22.07	+41 11 25.8	-582.0 	4.6 	6.30
230	00 42 22.36	+41 16 04.2	-276.6 	4.4 	4.13
231	00 42 22.56	+41 08 32.0	-375.7 	4.6 	8.64
232	00 42 22.81	+41 15 31.9	-412.9 	4.6 	4.09
233	00 42 22.85	+41 46 00.3	-220.5	11.6	30.13
234	00 42 23.18	+41 13 37.3	-377.0 	4.4 	4.71
235	00 42 23.66	+41 09 23.2	-419.0 	4.6 	7.79
236	00 42 23.84	+41 08 29.8	-492.9 	4.6 	8.56
237	00 42 24.39	+41 12 11.4	-384.5 	3.2 	5.45
238	00 42 24.47	+41 14 38.7	-404.6 	4.6 	4.02
239	00 42 24.63	+41 07 28.2	-261.0 	8.2 	9.43
240	00 42 24.65	+41 10 48.4	-389.9 	4.6 	6.49
241	00 42 25.01	+41 12 16.3	-669.7 	4.6 	5.31
242	00 42 25.45	+41 12 00.5	-358.9 	4.6 	5.45
243	00 42 25.60	+41 15 42.5	-559.7 	4.4 	3.55
244	00 42 25.91	+41 11 05.9	-351.4 	4.6 	6.12
245	00 42 25.93	+41 12 31.2	-441.2 	4.6 	5.01
246	00 42 27.00	+41 09 44.4	-533.9 	4.3 	7.18
