# col1     col2    col3    col4    col5   col6 col7 col8 col9 col10 col11
  151.2793 -7.7014 -28.51  -117.2  662.0  0.43 0.54 1.15 0.0  2.0   119.0
  151.3126 -7.8081 -218.72 237.1   708.0  0.96 1.0  0.8  0.0  4.0   120.0
  151.2706 -7.7362 -139.66 -51.39  519.0  0.43 0.14 1.04 0.0  1.0   121.0
  151.3477 -7.6807 195.69  4.28    970.0  0.53 0.01 1.05 5.0  1.0   122.0
  151.3091 -7.7329 -34.72  37.84   729.0  0.43 0.68 0.87 0.0  1.0   123.0
  151.3101 -7.6678 134.58  -123.92 794.0  0.54 0.3  1.11 0.0  2.0   124.0
  151.3537 -7.7351 71.53   156.87  650.0  0.63 0.68 1.22 0.0  3.0   125.0
  151.2901 -7.7293 -72.9   -19.35  673.0  0.55 0.97 1.1  0.0  1.0   126.0
  151.3296 -7.7732 -86.64  192.04  762.0  0.81 1.0  0.85 0.0  4.0   127.0
  151.3245 -7.6262 277.46  -192.44 618.0  0.91 1.0  0.73 0.0  4.0   128.0
  151.2359 -7.6614 -34.73  -328.53 641.0  1.0  0.99 1.02 0.0  4.0   129.0
  151.3    -7.7524 -107.49 64.1    609.0  0.39 0.37 1.23 0.0  1.0   130.0
  151.3035 -7.7129 2.75    -26.69  1035.0 0.68 0.84 1.1  5.0  1.0   131.0
  151.273  -7.6814 6.95    -183.93 689.0  0.75 0.75 1.06 0.0  3.0   132.0
  151.3485 -7.6829 192.05  11.89   939.0  0.52 0.01 1.05 0.0  1.0   133.0
  151.326  -7.7355 0.97    87.56   1123.0 0.35 0.8  1.05 5.0  1.0   134.0
  151.2757 -7.7261 -101.06 -63.94  575.0  0.38 0.25 1.15 0.0  1.0   135.0
  151.3254 -7.6669 175.22  -87.26  1033.0 0.48 0.0  0.66 5.0  2.0   136.0
  151.2822 -7.8    -274.09 139.2   753.0  0.78 0.99 1.1  0.0  3.0   137.0
  151.239  -7.7234 -185.88 -163.96 579.0  0.75 0.62 0.82 0.0  3.0   138.0
