A129   190.9786096 +11.5612678 23.765  0.023 22.355  0.023  1.410  0.033
A130   190.9608302 +11.5585162 23.832  0.030 22.213  0.027  1.614  0.041
A131   190.9653356 +11.6002152 23.525  0.022 22.276  0.023  1.249  0.032
A132   190.9619901 +11.5526621 23.514  0.023 22.394  0.025  1.120  0.034
A133   190.9708316 +11.5724665 23.732  0.026 22.361  0.025  1.371  0.036
A135   190.9512589 +11.5422070 23.498  0.023 22.432  0.029  1.067  0.037
A136   190.9446870 +11.5701868 23.340  0.020 22.428  0.027  0.912  0.034
A137   190.9600873 +11.5602687 23.921  0.037 22.257  0.029  1.658  0.047
A138   190.9643089 +11.5431496 23.687  0.025 22.415  0.027  1.272  0.037
A139   190.9687728 +11.5388231 23.418  0.020 22.445  0.025  0.973  0.032
A141   190.9463157 +11.5714263 23.445  0.022 22.466  0.029  0.979  0.036
A142   190.9342816 +11.5557194 23.514  0.021 22.229  0.035  1.321  0.041
A143   190.9755301 +11.5517691 23.571  0.022 22.478  0.025  1.093  0.033
A144   190.9460145 +11.5490044 23.440  0.022 22.471  0.031  0.969  0.038
A145   190.9403204 +11.5744027 23.889  0.027 22.492  0.028  1.397  0.039
A146   190.9523581 +11.5704957 23.871  0.026 22.511  0.027  1.360  0.038
A147   190.9306906 +11.5614978 23.888  0.028 22.455  0.029  1.358  0.040
A148   190.9515153 +11.5580601 23.405  0.022 22.496  0.029  0.910  0.036
A149   190.9357198 +11.5558256 24.029  0.026 22.578  0.027  1.441  0.037
A150   190.9505396 +11.5548804 23.940  0.029 22.509  0.031  1.431  0.042
A151   190.9547252 +11.5462179 23.323  0.020 22.254  0.025  1.069  0.032
A152   190.9612252 +11.5397474 23.549  0.024 22.561  0.031  0.988  0.039
A153   190.9546286 +11.5574800 23.726  0.026 22.574  0.031  1.152  0.041
A154   190.9592970 +11.5697127 23.752  0.025 22.565  0.027  1.187  0.037
A156   190.9340943 +11.5686907 23.501  0.018 22.602  0.024  0.870  0.030
A157   190.9648684 +11.5575116 23.947  0.029 22.578  0.029  1.369  0.041
A158   190.9474021 +11.5546268 23.412  0.022 22.614  0.033  0.798  0.040
A159   190.9392144 +11.5620413 24.039  0.024 22.703  0.037  1.398  0.044
A160   190.9373168 +11.5579423 23.653  0.021 22.631  0.015  1.016  0.026
A161   190.9709706 +11.5693578 23.545  0.025 22.639  0.031  0.907  0.040
A162   190.9330127 +11.5563016 24.472  0.058 22.707  0.031  1.672  0.066
A163   190.9345486 +11.5580512 24.068  0.028 22.608  0.027  1.480  0.039
A164   190.9908074 +11.5760037 23.517  0.022 22.647  0.027  0.870  0.035
A165   190.9508664 +11.5826726 23.682  0.023 22.664  0.029  1.018  0.037
A166   190.9679748 +11.5756638 23.564  0.022 22.676  0.029  0.888  0.036
A167   190.9527449 +11.5684013 23.670  0.025 22.671  0.031  0.999  0.040
A170   190.9281621 +11.5612195 23.929  0.028 22.778  0.032  1.212  0.042
A171   190.9357322 +11.5566967 24.138  0.031 22.670  0.033  1.392  0.045
A172   190.9753258 +11.5592421 24.032  0.034 22.382  0.029  1.642  0.044
A173   190.9563085 +11.5387846 24.289  0.037 22.667  0.031  1.622  0.049
A174   190.9449112 +11.5720182 23.466  0.020 22.567  0.029  0.899  0.035
A175   190.9506321 +11.5707792 24.313  0.035 22.695  0.031  1.619  0.047
A176   190.9345258 +11.5621536 24.257  0.025 22.759  0.026  1.507  0.036
A177   190.9781448 +11.5448429 23.759  0.025 22.565  0.027  1.194  0.037
A178   190.9657435 +11.5794112 23.533  0.022 22.740  0.029  0.793  0.036
A179   190.9807824 +11.5654882 24.144  0.030 22.749  0.029  1.394  0.042
A181   190.9270333 +11.5615442 24.169  0.034 22.725  0.045  1.406  0.057
A182   190.9363567 +11.5574084 23.898  0.023 22.774  0.029  1.165  0.037
A183   190.9359578 +11.5568424 24.448  0.043 22.756  0.038  1.619  0.057
A184   190.9671512 +11.5901452 24.094  0.029 22.793  0.029  1.301  0.041
A185   190.9869986 +11.5676886 23.372  0.022 22.571  0.029  0.794  0.036
A186   190.9547470 +11.5430217 23.708  0.025 22.843  0.035  0.865  0.043
A188   190.9705768 +11.5680731 23.814  0.025 22.809  0.031  1.005  0.040
A189   190.9596873 +11.5744825 24.339  0.035 22.819  0.031  1.520  0.047
A190   190.9986518 +11.5603394 23.917  0.025 22.827  0.029  1.090  0.038
A191   190.9606543 +11.5801375 24.122  0.029 22.831  0.031  1.291  0.042
A192   190.9580689 +11.5473023 24.193  0.033 22.877  0.035  1.316  0.048
A193   190.9572214 +11.5653900 24.028  0.030 22.810  0.033  1.218  0.045
A194   190.9935307 +11.5573542 23.756  0.023 22.847  0.029  0.909  0.037
A196   190.9703092 +11.5542467 24.227  0.034 22.859  0.033  1.368  0.047
A197   190.9802229 +11.5563287 23.847  0.026 22.763  0.031  1.085  0.041
A198   190.9619243 +11.5700163 24.547  0.043 22.873  0.033  1.674  0.054
A201   190.9641555 +11.5354013 24.234  0.033 22.849  0.033  1.384  0.047
A202   190.9476214 +11.5683836 23.709  0.025 22.912  0.037  0.797  0.044
A203   190.9773244 +11.5598792 23.843  0.027 22.774  0.031  1.069  0.041
A204   190.9816069 +11.5833866 23.881  0.029 22.833  0.033  1.048  0.044
A206   190.9343828 +11.5669953 23.911  0.024 22.861  0.028  1.061  0.037
A207   190.9455547 +11.5851472 23.887  0.026 22.923  0.034  0.963  0.043
A208   190.9572212 +11.5483868 23.967  0.029 22.928  0.037  1.039  0.047
A211   190.9791415 +11.5521647 24.291  0.035 22.916  0.033  1.375  0.048
A212   190.9428316 +11.5731805 23.985  0.034 22.931  0.045  1.055  0.056
A213   190.9643874 +11.5535080 24.176  0.034 22.966  0.037  1.210  0.050
A214   190.9693040 +11.5331845 24.407  0.036 22.977  0.036  1.430  0.051
