# ID             RA           DEC         RV     RV_err   RAD    index_phot   g        err_g   z        err_z   (g-z)   err_gz  
  NGC4649_S238   190.90385    11.54423    1697   29       0.9    J298         22.705   0.034   21.567   0.032   1.138   0.047   
  NGC4649_S239   190.930381   11.545569   1100   18       0.92   J305         22.172   0.029   20.708   0.014   1.464   0.032   
  NGC4649_S240   190.92466    11.539005   1016   4        0.95   J321         20.704   0.018   19.704   0.024   1.0     0.03    
  NGC4649_S241   190.923765   11.538516   1150   24       0.95   J322         22.519   0.047   21.078   0.016   1.441   0.05    
  NGC4649_S242   190.904672   11.54094    1451   22       0.99   J347         23.914   0.034   22.731   0.031   1.183   0.046   
  NGC4649_S243   190.900323   11.547675   1296   16       1.0    J353         23.13    0.021   21.487   0.027   1.643   0.034   
  NGC4649_S244   190.903102   11.56346    1162   16       1.02   J361         22.729   0.02    21.16    0.016   1.569   0.026   
  NGC4649_S245   190.920876   11.535967   925    5        1.04   J368         21.139   0.016   20.081   0.013   1.058   0.021   
  NGC4649_S246   190.929361   11.540827   771    20       1.04   J370         23.182   0.02    21.89    0.018   1.292   0.027   
  NGC4649_S247   190.921309   11.535218   1050   18       1.09   J394         21.905   0.012   20.835   0.018   1.07    0.022   
  NGC4649_S248   190.898015   11.55311    1573   6        1.09   J398         21.273   0.028   20.27    0.033   1.003   0.043   
  NGC4649_S249   190.919379   11.548735   1080   18       0.29   J41          21.834   0.025   20.908   0.037   0.926   0.045   
  NGC4649_S250   190.929361   11.538942   1166   7        1.12   J416         21.281   0.017   19.806   0.01    1.475   0.02    
  NGC4649_S251   190.912137   11.570944   1166   9        1.12   J419         22.031   0.011   21.004   0.016   1.027   0.019   
  NGC4649_S252   190.906963   11.568996   909    17       1.13   J421         22.527   0.02    21.621   0.027   0.906   0.034   
  NGC4649_S253   190.896511   11.552206   1509   7        1.18   J457         21.565   0.011   20.566   0.015   0.999   0.019   
  NGC4649_S254   190.910642   11.571614   1554   18       1.19   J462         23.024   0.029   21.409   0.021   1.615   0.036   
  NGC4649_S255   190.911233   11.551417   833    10       0.32   J48          21.339   0.014   20.23    0.01    1.109   0.017   
  NGC4649_S256   190.894739   11.550781   1338   37       1.29   J524         24.05    0.029   22.579   0.038   1.471   0.048   
  NGC4649_S257   190.927345   11.533789   1317   5        1.3    J533         21.176   0.012   20.149   0.014   1.027   0.018   
  NGC4649_S258   190.912199   11.574605   1059   13       1.34   J549         22.284   0.02    21.255   0.016   1.029   0.026   
