  95 214.6245753 +36.5074512  25.2854   0.1479
  96 214.6233765 +36.4899612  23.9157   0.0792
  97 214.6241534 +36.5035977  24.0838   0.0453
  98 214.6226136 +36.4848696  21.4575   0.0059
  99 214.6220326 +36.4752882  26.0605   0.2177
 100 214.6219566 +36.4742871  26.9090   0.2183
 101 214.6242245 +36.5054963  25.3169   0.1485
 102 214.6240323 +36.5029367  24.7570   0.1302
 103 214.6225494 +36.4843484  24.5317   0.0524
 104 214.6226332 +36.4852393  24.6876   0.1328
 105 214.6218307 +36.4749033  26.6939   0.1575
 106 214.6223819 +36.4822266  26.2939   0.1363
 107 214.6241032 +36.5068408  26.0559   0.1449
 108 214.6234423 +36.4979354  25.6039   0.1333
 109 214.6219523 +36.4780405  26.2535   0.1457
 110 214.6225005 +36.4866545  24.1815   0.0562
 111 214.6219192 +36.4783271  26.7035   0.1314
 112 214.6217298 +36.4768641  24.5946   0.0484
 113 214.6235412 +36.5008233  24.9303   0.1861
 114 214.6234086 +36.4995610  25.6137   0.2710
 115 214.6216081 +36.4752441  26.8489   0.3211
 116 214.6231627 +36.4972699  24.4149   0.0894
 117 214.6217877 +36.4790457  24.9497   0.0796
 118 214.6215915 +36.4757254  27.0096   0.2855
 119 214.6234420 +36.5015335  24.6702   0.1531
 120 214.6214629 +36.4755520  27.0451   0.3080
 121 214.6213940 +36.4750236  26.0525   0.1928
 122 214.6237408 +36.5074391  25.6695   0.1428
 123 214.6217333 +36.4808695  24.7366   0.0505
 124 214.6228532 +36.4969460  25.1089   0.1167
 125 214.6212307 +36.4753707  25.5521   0.1656
 126 214.6227677 +36.4964627  24.7717   0.0965
 127 214.6213231 +36.4768555  25.9465   0.1462
 128 214.6237492 +36.5097903  26.3850   0.1919
 129 214.6212157 +36.4761166  25.9738   0.1831
 130 214.6234133 +36.5057009  25.3539   0.1418
 131 214.6220062 +36.4880142  23.8955   0.0761
 132 214.6211543 +36.4764242  25.5275   0.0779
 133 214.6209593 +36.4829771  19.0032   0.0023
