# col1     col2    col3    col4    col5    col6   col7 col8 col9 col10 col11  col12 col13 col14 col15 col16
  151.3225 -7.6256 200.84  272.54  466.01  773.0  1.0  0.0  0.0  1.11  -5.46  0.0   0.0   0.0   4.0   87.0 
  151.3305 -7.7388 -107.17 4.45    7.61    580.0  1.0  0.0  0.0  0.79  -5.84  0.0   0.0   0.0   1.0   88.0 
  151.333  -7.6832 27.86   152.28  260.38  603.0  0.46 0.0  0.01 1.04  -4.6   0.0   0.0   0.0   3.0   89.0 
  151.3232 -7.6909 33.03   108.22  185.06  539.0  0.33 0.0  0.0  0.76  -5.3   0.0   0.0   0.0   2.0   90.0 
  151.2612 -7.7811 -40.27  -277.96 -475.28 637.0  0.59 0.01 0.01 0.75  -4.35  0.0   0.0   0.0   4.0   91.0 
  151.3183 -7.7058 7.43    57.89   98.99   959.0  0.85 0.0  0.0  1.1   -10.35 0.0   0.0   0.0   1.0   92.0 
  151.2869 -7.6802 151.71  43.77   74.84   825.0  1.0  0.0  0.0  1.14  -6.7   0.0   0.0   0.0   1.0   93.0 
  151.3732 -7.669  -37.37  289.97  495.83  703.0  0.5  0.01 0.01 0.98  -4.24  0.0   0.0   0.0   4.0   94.0 
  151.3376 -7.8111 -309.3  -161.76 -276.6  482.0  1.0  0.0  0.0  1.01  -7.17  0.0   0.0   0.0   4.0   95.0 
  151.2798 -7.7193 70.36   -73.73  -126.07 885.0  0.91 0.0  0.0  0.81  -8.58  0.0   0.0   0.0   1.0   96.0 
  151.3262 -7.7162 -38.82  51.23   87.6    407.0  0.91 0.0  0.0  0.77  -9.48  0.0   0.0   0.0   1.0   97.0 
  151.2869 -7.7604 -52.34  -160.64 -274.68 837.0  0.27 0.0  0.0  1.15  -6.51  0.0   0.0   0.0   3.0   98.0 
  151.3381 -7.7147 -65.19  85.1    145.52  980.0  0.13 0.0  0.0  0.8   -9.93  0.0   0.0   0.0   1.0   99.0 
  151.2719 -7.725  75.75   -108.23 -185.06 562.0  0.31 0.0  0.0  0.76  -4.96  0.0   0.0   0.0   2.0   100.0
  151.2994 -7.7802 -134.16 -179.35 -306.67 467.0  1.0  0.0  0.0  0.84  -8.11  0.0   0.0   0.0   4.0   101.0
  151.3309 -7.6985 -5.81   108.26  185.11  949.0  0.03 0.0  0.0  0.82  -8.17  0.0   0.0   0.0   2.0   102.0
  151.2929 -7.7575 -60.06  -137.69 -235.44 441.0  0.57 0.0  0.0  0.84  -9.01  0.0   0.0   0.0   3.0   103.0
  151.2802 -7.679  171.78  29.98   51.26   627.0  0.95 0.01 0.0  1.02  -4.88  0.0   0.0   0.0   1.0   104.0
  151.3107 -7.6541 158.32  170.23  291.08  614.0  0.68 0.01 0.0  1.0   -4.48  0.0   0.0   0.0   3.0   105.0
  151.2976 -7.7498 -52.26  -106.59 -182.25 426.0  0.15 0.0  0.0  0.88  -7.89  0.0   0.0   0.0   2.0   106.0
  151.2996 -7.7588 -80.08  -124.36 -212.65 582.0  0.56 0.0  0.0  1.15  -5.21  0.0   0.0   0.0   2.0   107.0
  151.29   -7.7002 93.3    0.68    1.16    697.0  1.0  0.0  0.0  1.09  -5.57  0.0   0.0   0.0   1.0   108.0
  151.3184 -7.7341 -64.69  -13.92  -23.8   844.0  0.05 0.0  0.01 0.75  -4.58  0.0   0.0   0.0   1.0   109.0
  151.1804 -7.7129 337.15  -308.12 -526.86 663.0  0.99 0.01 0.0  1.09  -5.01  0.0   0.0   0.0   4.0   110.0
  151.3453 -7.685  -7.66   178.93  305.95  809.0  0.46 0.0  0.0  0.8   -6.1   0.0   0.0   0.0   3.0   111.0
  151.2836 -7.7046 98.19   -26.64  -45.56  798.0  1.0  0.0  0.0  1.15  -6.63  0.0   0.0   0.0   1.0   112.0
  151.3039 -7.7458 -57.79  -80.39  -137.46 428.0  0.85 0.0  0.0  1.15  -8.87  0.0   0.0   0.0   1.0   113.0
  151.4061 -7.6647 -109.5  383.93  656.48  808.0  0.92 0.0  0.0  0.76  -6.22  0.0   0.0   0.0   4.0   114.0
  151.3134 -7.7335 -50.66  -24.92  -42.62  841.0  0.08 0.0  0.01 0.99  -5.04  0.0   0.0   0.0   1.0   115.0
  151.3276 -7.6749 62.69   160.01  273.6   573.0  0.36 0.0  0.01 1.09  -4.84  0.0   0.0   0.0   3.0   116.0
  151.336  -7.6908 1.16    140.67  240.54  910.0  0.38 0.0  0.0  1.09  -9.43  0.0   0.0   0.0   3.0   117.0
  151.2203 -7.7438 158.0   -286.04 -489.1  503.0  0.73 0.0  0.0  1.02  -6.41  0.0   0.0   0.0   4.0   118.0
  151.2793 -7.7014 117.0   -29.33  -50.15  662.0  0.91 0.0  0.0  1.15  -5.22  0.0   0.0   0.0   1.0   119.0
  151.3126 -7.8081 -238.62 -217.06 -371.16 708.0  0.99 0.01 0.0  0.8   -4.54  0.0   0.0   0.0   4.0   120.0
  151.2706 -7.7362 50.41   -140.01 -239.41 519.0  0.29 0.0  0.0  1.04  -5.76  0.0   0.0   0.0   3.0   121.0
  151.3477 -7.6807 -2.92   195.71  334.66  970.0  1.0  0.0  0.0  1.05  -13.13 0.0   0.0   0.0   4.0   122.0
  151.3091 -7.7329 -38.08  -34.46  -58.92  729.0  0.35 0.0  0.01 0.87  -4.54  0.0   0.0   0.0   1.0   123.0
  151.3101 -7.6678 124.85  133.71  228.64  794.0  0.83 0.0  0.0  1.11  -6.27  0.0   0.0   0.0   3.0   124.0
  151.3537 -7.7351 -156.37 72.63   124.19  650.0  0.87 0.01 0.0  1.22  -4.81  0.0   0.0   0.0   1.0   125.0
  151.2901 -7.7293 18.84   -73.04  -124.89 673.0  0.55 0.01 0.01 1.1   -4.48  0.0   0.0   0.0   1.0   126.0
  151.3296 -7.7732 -192.64 -85.3   -145.86 762.0  0.78 0.0  0.0  0.85  -5.12  0.0   0.0   0.0   2.0   127.0
  151.3245 -7.6262 194.38  276.11  472.13  618.0  0.89 0.01 0.0  0.73  -4.48  0.0   0.0   0.0   4.0   128.0
  151.2359 -7.6614 328.28  -37.02  -63.3   641.0  1.0  0.01 0.0  1.02  -4.41  0.0   0.0   0.0   2.0   129.0
  151.3    -7.7524 -64.85  -107.04 -183.03 609.0  0.54 0.0  0.0  1.23  -4.95  0.0   0.0   0.0   2.0   130.0
  151.3035 -7.7129 26.71   2.56    4.38    1035.0 1.0  0.0  0.0  1.1   -13.8  0.0   0.0   0.0   1.0   131.0
  151.273  -7.6814 183.97  5.66    9.68    689.0  1.0  0.01 0.0  1.06  -4.81  0.0   0.0   0.0   1.0   132.0
  151.3485 -7.6829 -10.55  192.13  328.53  939.0  1.0  0.0  0.0  1.05  -11.58 0.0   0.0   0.0   4.0   133.0
  151.326  -7.7355 -87.55  1.58    2.71    1123.0 0.0  0.0  0.0  1.05  -13.88 0.0   0.0   0.0   1.0   134.0
  151.2757 -7.7261 63.24   -101.51 -173.57 575.0  0.34 0.0  0.0  1.15  -4.88  0.0   0.0   0.0   2.0   135.0
  151.3254 -7.6669 88.48   174.61  298.56  1033.0 0.66 0.0  0.0  0.66  -16.8  0.0   0.0   0.0   3.0   136.0
  151.2822 -7.8    -141.11 -273.11 -467.0  753.0  0.54 0.01 0.0  1.1   -4.67  0.0   0.0   0.0   4.0   137.0
  151.239  -7.7234 162.66  -187.02 -319.79 579.0  0.52 0.01 0.0  0.82  -4.57  0.0   0.0   0.0   4.0   138.0
  151.3735 -7.6507 8.54    337.41  576.95  732.0  0.78 0.01 0.0  0.67  -4.84  0.0   0.0   0.0   4.0   139.0
  151.3556 -7.6922 -52.12  186.59  319.06  895.0  0.99 0.0  0.0  0.83  -9.72  0.0   0.0   0.0   4.0   140.0
  151.3882 -7.6754 -91.51  311.33  532.35  718.0  0.56 0.01 0.01 1.04  -4.33  0.0   0.0   0.0   4.0   141.0
  151.2948 -7.7263 14.59   -53.63  -91.71  610.0  0.6  0.01 0.0  1.04  -4.6   0.0   0.0   0.0   1.0   142.0
  151.3362 -7.6921 -2.63   137.81  235.64  886.0  0.4  0.0  0.0  0.79  -8.47  0.0   0.0   0.0   3.0   143.0
  151.2892 -7.7723 -88.43  -184.89 -316.14 518.0  1.0  0.0  0.0  0.81  -6.84  0.0   0.0   0.0   4.0   144.0
  151.2861 -7.7025 97.19   -15.12  -25.86  433.0  0.02 0.0  0.01 1.14  -4.84  0.0   0.0   0.0   1.0   145.0
  151.3148 -7.6755 93.55   126.04  215.52  957.0  0.1  0.0  0.0  0.78  -9.84  0.0   0.0   0.0   2.0   146.0
  151.2773 -7.6724 196.06  39.34   67.27   770.0  1.0  0.0  0.0  0.67  -5.44  0.0   0.0   0.0   1.0   147.0
  151.3293 -7.7393 -105.71 0.27    0.46    925.0  0.01 0.0  0.01 0.77  -5.06  0.0   0.0   0.0   1.0   148.0
  151.2928 -7.7982 -163.39 -241.92 -413.67 710.0  0.75 0.01 0.0  1.12  -4.44  0.0   0.0   0.0   4.0   149.0
