# col1   col2         col3        col4     B           V       
  1      226.61121    55.74572    9999.0   22.17       21.5    
  1      226.62754    55.76904    662.0    25.13       24.46   
  1      226.61162    55.77153    771.0    23.5        22.83   
  1      226.60483    55.7686     9999.0   24.79       24.12   
  1      226.581833   55.753722   9999.0   23.098      22.43   
  1      226.931167   55.688917   814.0    22.853      22.188  
  1      226.61021    55.78449    9999.0   23.41       22.75   
  1      226.62096    55.75693    9999.0   23.53       22.87   
  1      226.65625    55.643778   658.0    21.97       21.314  
  1      226.883375   55.767222   9999.0   21.109001   20.454  
  1      226.623625   55.827667   825.0    22.941      22.286  
  1      226.59725    55.75191    9999.0   23.02       22.37   
  1      226.60754    55.75484    433.0    24.24       23.59   
  1      226.65612    55.75639    9999.0   23.89       23.24   
  1      226.512833   55.63825    9999.0   20.167      19.521  
  1      226.58225    55.639      9999.0   21.136      20.491  
  1      226.596208   55.820083   9999.0   23.255999   22.612  
  1      226.511417   55.683639   9999.0   22.943998   22.3    
  1      226.86575    55.800694   9999.0   24.465      23.823  
  1      226.65133    55.75966    9999.0   24.18       23.54   
  1      226.64533    55.77084    428.0    24.289999   23.65   
  1      226.62854    55.74536    9999.0   23.64       23.0    
  1      226.59933    55.77515    9999.0   25.18       24.54   
  1      226.63129    55.73452    9999.0   23.33       22.69   
  1      226.460333   55.723611   9999.0   23.5        22.862  
  1      226.531917   55.827028   9999.0   23.817      23.185  
  1      226.63167    55.78558    9999.0   25.009998   24.38   
  1      226.78775    55.711611   510.0    18.695      18.065  
  1      226.59987    55.76796    9999.0   23.66       23.03   
  1      226.60167    55.74379    9999.0   23.769999   23.14   
  1      226.61854    55.77371    9999.0   24.099998   23.47   
  1      226.68246    55.76515    9999.0   23.189999   22.56   
  1      226.845042   55.82375    471.0    23.02       22.392  
  1      226.422458   55.581389   9999.0   22.252      21.625  
  1      226.745667   55.575972   439.0    23.517      22.892  
  1      226.603958   55.633528   809.0    21.376      20.755  
  1      226.58512    55.76994    810.0    24.19       23.57   
  1      226.593      55.75093    637.0    22.77       22.15   
  1      226.633      55.64175    9999.0   22.188002   21.568  
  1      226.59592    55.74329    9999.0   24.28       23.66   
  1      226.8315     55.913111   9999.0   23.486      22.866  
  1      226.469292   55.651444   9999.0   23.069      22.449  
  1      226.516792   55.592028   9999.0   23.432999   22.817  
  1      226.55075    55.876389   9999.0   21.177      20.564  
  1      226.678583   55.662306   9999.0   21.796001   21.183  
  1      226.522375   55.66825    9999.0   23.473001   22.86   
  1      226.601458   55.692556   826.0    23.047      22.434  
  1      226.60454    55.76273    9999.0   25.36       24.75   
  1      226.63229    55.76628    9999.0   24.17       23.56   
  1      226.727958   55.710556   9999.0   21.326      20.722  
  1      226.898292   55.857639   9999.0   20.969      20.366  
  1      226.498542   55.683083   547.0    22.68       22.08   
  1      226.60842    55.77167    603.0    22.95       22.35   
  1      226.58846    55.77268    893.0    23.380001   22.78   
  1      226.644208   55.922944   510.0    21.358002   20.759  
  1      226.504875   55.892611   9999.0   23.009      22.412  
  1      226.598625   55.700083   531.0    22.618      22.022  
  1      226.590167   55.935306   492.0    23.392      22.796  
  1      226.849042   55.640361   586.0    20.645      20.052  
  1      226.673583   55.572278   654.0    21.429      20.837  
  1      226.767958   55.721583   689.0    23.632      23.04   
  1      226.616333   55.803556   596.0    21.13       20.539  
  1      226.49075    55.695417   9999.0   24.168      23.577  
  1      226.522833   55.728111   546.0    19.014      18.424  
  1      226.638      55.821889   601.0    23.05       22.46   
  1      226.59337    55.76658    9999.0   24.78       24.19   
  1      226.659375   55.804944   9999.0   24.005001   23.415  
  1      226.726542   55.803611   9999.0   22.974      22.391  
  1      226.711375   55.86325    9999.0   23.412      22.83   
  1      226.519917   55.812778   9999.0   23.53       22.948  
  1      226.63112    55.74816    1033.0   24.66       24.08   
  1      226.61442    55.75251    9999.0   23.6        23.02   
  1      226.746333   55.781667   9999.0   23.224      22.649  
  1      226.902083   55.749528   1123.0   20.18       19.607  
  1      226.727875   55.637833   910.0    20.924      20.351  
  1      226.726292   55.760333   609.0    22.424      21.851  
  1      226.587458   55.669444   9999.0   22.887      22.314  
