# col1   RA                   DEC                  col4  
  1      40.09795833333333    39.05744444444444    599   
  1      40.099333333333334   39.0755              499   
  1      40.100208333333335   39.0465              582   
  1      40.10091666666667    39.09097222222222    768   
  1      40.101708333333335   39.05422222222222    742   
  1      40.10204166666667    39.13638888888889    737   
  1      40.104375            39.07994444444445    738   
  1      40.104416666666665   39.07288888888889    588   
  1      40.10516666666667    39.06883333333333    512   
  1      40.10545833333333    39.05469444444444    612   
  1      40.10554166666667    39.072472222222224   571   
  1      40.10616666666666    39.07297222222222    729   
  1      40.106625            39.08144444444444    745   
  1      40.107416666666666   39.05041666666666    531   
  1      40.107499999999995   39.05888888888889    534   
  1      40.107625            39.05975000000001    573   
  1      40.108083333333326   39.05266666666667    591   
  1      40.10845833333334    39.04516666666667    688   
  1      40.10854166666667    39.07516666666667    672   
  1      40.109249999999996   39.038833333333336   566   
  1      40.10941666666667    39.04266666666667    662   
  1      40.10995833333334    39.07988888888889    681   
  1      40.111749999999994   39.054833333333335   691   
  1      40.11216666666667    39.06744444444445    928   
  1      40.112541666666665   39.06277777777777    740   
  1      40.11283333333333    39.070166666666665   767   
  1      40.113               39.064166666666665   854   
  1      40.113875            39.067083333333336   724   
  1      40.11395833333334    39.069               801   
  1      40.11450000000001    39.07652777777778    736   
  1      40.114625            39.0775              794   
  1      40.11466666666666    39.05302777777778    625   
  1      40.11499999999999    39.070972222222224   846   
  1      40.11712500000001    39.068333333333335   802   
  1      40.11741666666667    39.034194444444445   410   
  1      40.11937499999999    39.065222222222225   773   
  1      40.119875            39.06308333333334    684   
  1      40.12029166666666    39.066722222222225   846   
  1      40.121125000000006   39.05625             859   
  1      40.12166666666667    39.07658333333333    762   
  1      40.122125            39.06172222222222    726   
  1      40.122416666666666   39.07138888888889    725   
  1      40.12245833333334    39.07275             859   
  1      40.122625            39.0578888888889     745   
  1      40.122875            39.0515              765   
  1      40.12304166666667    39.07936111111111    683   
  1      40.12354166666666    39.06633333333333    649   
  1      40.12383333333334    39.03994444444444    741   
  1      40.12525             39.06666666666667    833   
  1      40.12604166666667    39.064277777777775   835   
  1      40.12683333333333    39.067722222222216   661   
  1      40.12741666666666    39.098527777777775   450   
  1      40.1275              39.06083333333333    855   
  1      40.128083333333336   39.05563888888888    812   
  1      40.1295              39.07727777777778    868   
  1      40.130375            39.05755555555555    809   
  1      40.13233333333333    39.05950000000001    766   
  1      40.132375            39.061416666666666   874   
  1      40.13533333333333    39.06516666666667    772   
  1      40.13654166666667    39.069944444444445   856   
  1      40.136875            39.080333333333336   745   
  1      40.138374999999996   39.060472222222224   776   
  1      40.13875000000001    39.05827777777778    780   
  1      40.13895833333333    39.06305555555555    823   
  1      40.139125            39.052944444444435   786   
  1      40.14033333333334    39.07958333333333    728   
  1      40.14033333333334    39.05686111111111    765   
  1      40.14066666666667    39.05291666666667    810   
  1      40.14183333333334    39.07644444444445    618   
  1      40.14333333333334    39.04361111111111    755   
  1      40.143750000000004   39.06747222222223    813   
  1      40.1445              39.06594444444445    832   
  1      40.145125            39.06205555555555    812   
  1      40.148041666666664   39.053416666666664   745   
  1      40.14875             39.06255555555556    753   
  1      40.14891666666667    39.05730555555556    830   
  1      40.149               39.05911111111111    777   
  1      40.15316666666667    39.05405555555556    723   
  1      40.15345833333334    39.063027777777776   767   
  1      40.15358333333333    39.04786111111111    741   
  1      40.15445833333334    39.050999999999995   771   
  1      40.156000000000006   39.05658333333333    732   
  1      40.15645833333334    39.06199999999999    722   
  1      40.15745833333333    39.061611111111105   828   
  1      40.15779166666667    39.04044444444445    750   
  1      40.158375            39.05041666666666    744   
  1      40.158874999999995   39.05986111111111    808   
  1      40.159               39.07061111111111    748   
  1      40.161625            39.059666666666665   848   
  1      40.16420833333333    39.08047222222222    750   
  1      40.166291666666666   39.070027777777774   822   
  1      40.16683333333333    39.06275             736   
  1      40.16766666666667    39.09138888888888    716   
  1      40.16883333333333    39.11702777777778    664   
  1      40.169624999999996   39.06400000000001    781   
  1      40.16975000000001    39.097527777777785   769   
  1      40.169916666666666   39.07733333333334    787   
  1      40.17020833333333    39.10933333333333    700   
  1      40.17120833333333    39.072527777777786   419   
  1      40.17254166666666    39.08808333333333    717   
  1      40.173624999999994   39.13805555555555    610   
  1      40.17454166666666    39.02452777777777    757   
  1      40.17666666666667    39.062083333333334   748   
  1      40.17725000000001    39.07369444444445    813   
  1      40.179458333333336   39.043888888888894   741   
  1      40.179541666666665   39.068               658   
  1      40.18500000000001    39.062083333333334   785   
  1      40.186375            39.03527777777778    1703  
  1      40.18654166666666    39.068777777777775   545   
  1      40.193333333333335   39.01761111111111    452   
  1      40.198791666666665   39.101416666666665   804   
  1      40.20408333333333    39.06633333333333    734   
