# col1   RA                   DEC                  col4  
  146    40.128083333333336   39.05563888888888    812   
  147    40.1295              39.07727777777778    868   
  148    40.130375            39.05755555555555    809   
  149    40.13233333333333    39.05950000000001    766   
  150    40.132375            39.061416666666666   874   
  151    40.13533333333333    39.06516666666667    772   
  152    40.13654166666667    39.069944444444445   856   
  153    40.136875            39.080333333333336   745   
  154    40.138374999999996   39.060472222222224   776   
  155    40.13875000000001    39.05827777777778    780   
  156    40.13895833333333    39.06305555555555    823   
  157    40.139125            39.052944444444435   786   
  158    40.14033333333334    39.07958333333333    728   
  159    40.14033333333334    39.05686111111111    765   
  160    40.14066666666667    39.05291666666667    810   
  161    40.14183333333334    39.07644444444445    618   
  162    40.14333333333334    39.04361111111111    755   
  163    40.143750000000004   39.06747222222223    813   
  164    40.1445              39.06594444444445    832   
  165    40.145125            39.06205555555555    812   
  166    40.148041666666664   39.053416666666664   745   
  167    40.14875             39.06255555555556    753   
  168    40.14891666666667    39.05730555555556    830   
  169    40.149               39.05911111111111    777   
  170    40.15316666666667    39.05405555555556    723   
  171    40.15345833333334    39.063027777777776   767   
  172    40.15358333333333    39.04786111111111    741   
  173    40.15445833333334    39.050999999999995   771   
  174    40.156000000000006   39.05658333333333    732   
  175    40.15645833333334    39.06199999999999    722   
  176    40.15745833333333    39.061611111111105   828   
  177    40.15779166666667    39.04044444444445    750   
  178    40.158375            39.05041666666666    744   
  179    40.158874999999995   39.05986111111111    808   
  180    40.159               39.07061111111111    748   
  181    40.161625            39.059666666666665   848   
  182    40.16420833333333    39.08047222222222    750   
  183    40.166291666666666   39.070027777777774   822   
  184    40.16683333333333    39.06275             736   
  185    40.16766666666667    39.09138888888888    716   
  186    40.16883333333333    39.11702777777778    664   
  187    40.169624999999996   39.06400000000001    781   
  188    40.16975000000001    39.097527777777785   769   
  189    40.169916666666666   39.07733333333334    787   
  190    40.17020833333333    39.10933333333333    700   
  191    40.17120833333333    39.072527777777786   419   
  192    40.17254166666666    39.08808333333333    717   
  193    40.173624999999994   39.13805555555555    610   
  194    40.17454166666666    39.02452777777777    757   
  195    40.17666666666667    39.062083333333334   748   
  196    40.17725000000001    39.07369444444445    813   
  197    40.179458333333336   39.043888888888894   741   
  198    40.179541666666665   39.068               658   
  199    40.18500000000001    39.062083333333334   785   
  200    40.186375            39.03527777777778    170   
  201    40.18654166666666    39.068777777777775   545   
  202    40.193333333333335   39.01761111111111    452   
  203    40.198791666666665   39.101416666666665   804   
  204    40.20408333333333    39.06633333333333    734   
