#  Table 3115.tab  Fri 16:12:25 15-Jan-2016

# row     SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA
#       pixel                                                            degrees

    1    0.00      2342.      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF
   55    0.23  199.31   0.28  199.10   0.29   -0.205   0.0133     0.0651
   56    0.34  199.46   0.45  199.25   0.46   -0.125   0.0114     0.0917
   57    0.28  199.66   0.40  198.56   0.41   -0.122   0.0101     0.0822
   58    0.39  200.54   0.60  198.82   0.61    -0.08   0.0085      0.106
   59    0.67  200.54   1.07  198.82   1.08  -0.0442   0.0074      0.167
   60    0.01  200.54   0.03  198.82   0.03    -1.89    0.547       0.29
   61    0.03  197.01   0.06  202.14   0.06   -0.733    0.217      0.297
   62    0.04  188.67   0.08  211.36   0.08   -0.608    0.195      0.321
   63    0.07  178.87   0.17  222.19   0.18   -0.538    0.179      0.332

# row       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E
#     pixel**1/4                                                            

    1    0.00000   -8.42    INDEF    INDEF        INDEF        INDEF   INDEF
    2    0.84958    -8.4    0.001  9.99E-4        2342.        2342.   -8.42
    3    0.87007    -8.4  0.00106  0.00106        2342.        2342.   -8.42
    4    0.89105    -8.4  9.25E-4  9.25E-4        2342.        2342.   -8.42
    5    0.91254   -8.39  0.00186  0.00185        2342.        2342.   -8.42
    6    0.93454   -8.38  0.00238  0.00238        2342.        2342.   -8.42
    7    0.95708   -8.37  0.00316  0.00315        2342.        2342.   -8.42
    8    0.98016   -8.36  0.00326  0.00325        2342.        2342.   -8.42
    9    1.00379   -8.34  0.00299  0.00299        2342.       10898.   -8.42
   10    1.02800   -8.32  0.00266  0.00265        2342.       10898.   -8.42
   11    1.05279    -8.3  0.00246  0.00245       10898.       10898.   -10.1
   12    1.07817   -8.28  0.00235  0.00235       10898.       10898.   -10.1
   13    1.10417   -8.26  0.00245  0.00244       15072.       18774.   -10.4
   14    1.13080   -8.23  0.00242  0.00242       15072.       18774.   -10.4
   15    1.15806    -8.2  0.00254  0.00254       15072.       18774.   -10.4
   16    1.18599   -8.17  0.00265  0.00265       18774.       18774.   -10.7
   17    1.21459   -8.12  0.00188  0.00188       18774.       25514.   -10.7
   18    1.24388   -8.07    0.001    0.001       25768.       38281.    -11.
   19    1.27387   -8.03  0.00161  0.00161       32508.       38281.   -11.3
   20    1.30459   -7.97  0.00187  0.00186       35691.       43824.   -11.4
   21    1.33605   -7.91   0.0014   0.0014       38585.       58995.   -11.5
   22    1.36826   -7.85  0.00115  0.00115       44249.       58995.   -11.6
   23    1.40126   -7.79  0.00141  0.00141       54982.       68375.   -11.9
   24    1.43505   -7.72  0.00162  0.00162       57522.       80810.   -11.9
   25    1.46965   -7.66  0.00139  0.00139       62386.       93167.    -12.
   26    1.50509   -7.61  0.00143  0.00142       80450.      111750.   -12.3
