#  Table ellipse_skysub.fits[1]  Wed 15:43:31 26-Oct-2016

# row     SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA
#       pixel                                                            degrees

    1    0.00     16120.      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF
   65    0.64  681.96   1.60  668.59   1.64    -21.1      3.1      0.147
   66    0.36  678.52   0.95  672.18   0.98    -16.6     1.15     0.0693
   67    0.62  680.92   1.62  670.21   1.66    -9.54     1.02      0.107
   68    0.80  680.92   2.30  670.21   2.36    -5.29    0.363     0.0686
   69    1.12  680.92   3.32  670.21   3.82    -4.64    0.774      0.167
   70    0.91  685.01   3.06  665.59   3.30    -3.99     0.52       0.13
   71    1.71  684.07   4.05  674.14   5.35    -5.51    0.661       0.12
   72    2.99  684.07   9.48  674.14  11.15    -1.53    0.498      0.326
   73    2.05  662.47   6.23  728.73   7.16    -2.39    INDEF      INDEF

# row       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E
#     pixel**1/4                                                            

    1    0.00000   -10.5    INDEF    INDEF        INDEF        INDEF   INDEF
    2    0.84282   -10.5  7.23E-4  7.22E-4       16120.       16120.   -10.5
    3    0.86314   -10.5  7.39E-4  7.38E-4       16120.       16120.   -10.5
    4    0.88395   -10.5  7.64E-4  7.64E-4       16120.       16120.   -10.5
    5    0.90527   -10.5  8.05E-4  8.05E-4       16120.       16120.   -10.5
    6    0.92710   -10.5  8.54E-4  8.54E-4       16120.       16120.   -10.5
    7    0.94945   -10.5  9.18E-4  9.18E-4       16120.       16120.   -10.5
    8    0.97235   -10.5  0.00106  0.00106       16120.       16120.   -10.5
    9    0.99580   -10.5  0.00129  0.00129       16120.       16120.   -10.5
   10    1.01981   -10.5  0.00154  0.00154       16120.       81600.   -10.5
   11    1.04440   -10.5  0.00183  0.00183       16120.       81600.   -10.5
   12    1.06958   -10.5  0.00217  0.00216       16120.       81600.   -10.5
   13    1.09538   -10.5  0.00255  0.00255       16120.      146988.   -10.5
   14    1.12179   -10.5  0.00282  0.00281       48632.      146988.   -11.7
   15    1.14884   -10.5  0.00306  0.00305       48632.      146988.   -11.7
   16    1.17654   -10.5  0.00312  0.00311       48632.      146988.   -11.7
   17    1.20491   -10.5  0.00325  0.00324       48632.      213785.   -11.7
   18    1.23397   -10.5  0.00313  0.00313       48632.      345017.   -11.7
   19    1.26372   -10.5  0.00275  0.00274       81327.      345017.   -12.3
   20    1.29420   -10.5  0.00233  0.00233       81327.      345017.   -12.3
   21    1.32540   -10.5  0.00206  0.00205      180092.      476201.   -13.1
   22    1.35736   -10.5   0.0024  0.00239      180092.      604343.   -13.1
   23    1.39010   -10.5  0.00262  0.00262      180092.      734755.   -13.1
   24    1.42362   -10.5  0.00327  0.00326      245753.      799529.   -13.5
   25    1.45794   -10.5  0.00274  0.00273      279038.     1127651.   -13.6
   26    1.49310   -10.5  0.00467  0.00465      279038.     1127651.   -13.6
   27    1.52911   -10.5  0.00426  0.00424      442759.     1583029.   -14.1
   28    1.56598   -10.5  0.00361   0.0036      540113.     1841558.   -14.3
   29    1.60374   -10.5  0.00321   0.0032      605162.     2230796.   -14.5
   30    1.64241   -10.5  0.00389  0.00388      668573.     2750513.   -14.6
   31    1.68202   -10.5  0.00312  0.00312      927193.     3205165.   -14.9
   32    1.72258   -10.5   0.0032  0.00319     1057924.     3929068.   -15.1
   33    1.76411   -10.5  0.00364  0.00362     1286305.     4773340.   -15.3
   34    1.80665   -10.5  0.00284  0.00283     1678246.     5818511.   -15.6
   35    1.85022   -10.5  0.00281   0.0028     1935822.     7125471.   -15.7
   36    1.89483   -10.5  0.00283  0.00282     2361867.     8433554.   -15.9
   37    1.94052   -10.5  0.00279  0.00278     2784707.     1.0323E7   -16.1
   38    1.98732   -10.5  0.00224  0.00224     3435355.     1.2414E7   -16.3
   39    2.03524   -10.5  0.00182  0.00182     4055775.     1.5208E7   -16.5
   40    2.08432   -10.5  0.00198  0.00197     4874169.     1.8203E7   -16.7
   41    2.13458   -10.5  0.00215  0.00214     6020005.     2.2032E7   -16.9
   42    2.18605   -10.5  0.00197  0.00196     7261990.     2.6658E7   -17.2
   43    2.23876   -10.5   0.0022   0.0022     8663423.     3.2242E7   -17.3
   44    2.29275   -10.5  0.00168  0.00167     9003290.     3.8490E7   -17.4
   45    2.34803   -10.5  0.00143  0.00143     2.0554E7     4.6083E7   -18.3
   46    2.40465   -10.5  0.00152  0.00152     2.5013E7     5.5395E7   -18.5
   47    2.46264   -10.5  0.00141  0.00141     3.0081E7     6.5750E7   -18.7
   48    2.52202   -10.5  0.00137  0.00137     3.6115E7     7.7762E7   -18.9
   49    2.58284   -10.5  0.00126  0.00126     3.9777E7     9.1291E7    -19.
   50    2.64512   -10.5  0.00119  0.00118     4.3394E7     1.0643E8   -19.1
   51    2.70890   -10.5  0.00113  0.00113     5.2163E7     1.2326E8   -19.3
   52    2.77423   -10.5  0.00127  0.00127     6.0252E7     1.4185E8   -19.4
   53    2.84112   -10.5  0.00145  0.00144     7.3437E7     1.6166E8   -19.7
   54    2.90963   -10.4  0.00161  0.00161     8.7541E7     1.8298E8   -19.9
   55    2.97979   -10.4  0.00194  0.00193     1.0422E8     2.0582E8    -20.
   56    3.05165   -10.3   0.0021  0.00209     1.2406E8     2.2950E8   -20.2
   57    3.12523   -10.2  0.00223  0.00223     1.4921E8     2.5327E8   -20.4
   58    3.20060   -10.1  0.00234  0.00233     1.7280E8     2.7692E8   -20.6
   59    3.27777   -9.87  0.00322  0.00321     2.0348E8     2.9963E8   -20.8
   60    3.35681   -9.66  0.00347  0.00345     2.2954E8     3.2100E8   -20.9
   61    3.43776   -9.43  0.00954  0.00946     2.5888E8     3.4049E8    -21.
   62    3.52066   -9.12  0.00538  0.00535     2.8681E8     3.5847E8   -21.1
   63    3.60555   -8.74  0.00607  0.00603     3.1499E8     3.7412E8   -21.2
   64    3.69249   -8.38  0.00682  0.00677     3.3839E8     3.8607E8   -21.3
   65    3.78153   -8.08   0.0216   0.0212     3.5671E8     3.9680E8   -21.4
   66    3.87272   -7.64    0.015   0.0148     3.7588E8     4.0346E8   -21.4
   67    3.96611   -6.98   0.0264   0.0258     3.9479E8     4.0787E8   -21.5
   68    4.06174   -6.42   0.0348   0.0337     4.0399E8     4.0623E8   -21.5
   69    4.15969   -5.77    0.088   0.0814     4.1189E8     4.0133E8   -21.5
   70    4.25999   -4.54     0.22    0.183     4.1664E8     3.9127E8   -21.5
   71    4.36272      0.    INDEF    -1.56     4.1113E8     3.7800E8   -21.5
   72    4.46792      0.    INDEF    INDEF     4.0929E8     3.5734E8   -21.5
   73    4.57566      0.    INDEF    INDEF     3.9506E8     3.4144E8   -21.5

# row  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4
#                                                                        

    1   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF
    2   -10.5      1      1      15.9    89.7     -61.6    98.6      29.8
    3   -10.5      1      1      16.2    67.9     -31.9     69.       26.
    4   -10.5      1      1      14.2     52.     -12.6    49.8      20.9
    5   -10.5      1      1      11.1     40.    -0.238    37.5      15.1
    6   -10.5      1      1      8.67    30.8      3.63     29.      8.67
    7   -10.5      1      1      6.87    24.1      4.79    22.9      4.41
    8   -10.5      1      1      5.81    20.3      1.98     19.     0.766
    9   -10.5      1      1      4.72    17.8     -2.82    16.9      -2.3
   10   -12.3      1      5      3.21    15.3     -6.08    15.3     -3.96
   11   -12.3      1      5      2.21     13.     -8.11     14.     -4.68
   12   -12.3      1      5      1.55     11.     -9.27    12.9     -4.81
   13   -12.9      1      9      1.19    9.24     -9.92    11.9     -4.45
   14   -12.9      3      9      1.37    7.27     -9.38    10.2     -4.08
   15   -12.9      3      9      1.69    5.66     -8.45    8.58     -3.81
   16   -12.9      3      9      1.97    4.34     -6.36     6.4     -2.95
   17   -13.3      3     13      2.08    3.51      -4.4    4.62     -2.58
   18   -13.8      3     21      1.65    2.56     -2.77    3.08     -2.09
   19   -13.8      5     21        1.    1.64     -1.59    1.89     -1.66
   20   -13.8      5     21     0.606    5.02    -0.755    6.21     -1.38
   21   -14.2     11     29     0.304   0.468    -0.433   0.509      -0.4
   22   -14.5     11     37     0.428   0.464     -0.43   0.454    0.0649
   23   -14.7     11     45     0.183   0.602   -0.0149    0.28    -0.231
   24   -14.8     15     49    0.0289   0.269    -0.117     0.3   -0.0797
   25   -15.1     17     69    0.0411   0.125     0.139   0.227   0.00807
   26   -15.1     17     69   0.00788   0.364     0.132   0.392     0.363
   27   -15.5     27     97    -0.123    0.19    0.0435   0.133     0.018
   28   -15.7     33    113     -0.22   0.402  -4.71E-4   0.167     0.149
   29   -15.9     37    137   -0.0573   0.114   -0.0566   0.108    0.0534
   30   -16.1     41    169    -0.424    2.62    -0.342    2.15     0.291
   31   -16.3     57    197    0.0308   0.672    -0.257    0.65     0.128
   32   -16.5     65    241     0.325   0.556    -0.212   0.489    -0.164
   33   -16.7     79    293     0.253   0.956   -0.0469   0.416    -0.269
   34   -16.9    103    357     0.104   0.824    -0.315   0.816    -0.481
   35   -17.1    119    437     0.141   0.597      -0.2    0.58    -0.221
   36   -17.3    145    517     0.446   0.556    -0.206   0.432    0.0215
   37   -17.5    171    633     0.284   0.383    0.0501    0.29    -0.347
   38   -17.7    211    761     0.153   0.217   -0.0452   0.172    -0.382
   39    -18.    249    933     0.159   0.198    0.0372   0.106    -0.064
   40   -18.2    299   1117     0.542   0.959    0.0553   0.326     0.388
   41   -18.4    369   1353     0.332    1.11    0.0252   0.335     0.452
