A      87  151.31129  -07.72228   22.314   0.025   20.841   0.030   22.464   1.043   22.042   1.402   21.388   0.753  999.99  9999.  N    0  Simbad
A      88  151.29302  -07.72139   22.367   0.010   20.865   0.009   22.349   0.017   21.570   0.017   21.183   0.017    1.96    525  N    1  Simbad
A      89  151.34406  -07.70977   22.073   0.006   20.865   0.006   21.979   0.009   21.261   0.010   21.005   0.010    2.37   1192  N    1  Simbad
A      90  151.29390  -07.73616   22.413   0.011   20.882   0.010   22.192   0.058   21.458   0.062   21.122   0.051    2.39  9999.  N    0  Simbad
A      91  151.31461  -07.71361   22.197   0.054   20.893   0.064   19.606   0.065   18.702   0.062   18.981   0.093  999.99  9999.  N    0  Simbad
A      92  151.27959  -07.75338   22.280   0.007   20.906   0.006   22.386   0.012   21.649   0.013   21.303   0.013    2.71    814  N    0  Simbad
A      93  151.32753  -07.69945   22.404   0.010   20.911   0.008   22.417   0.030   21.609   0.026   21.293   0.023    1.65  9999.  N    0  Simbad
A      94  151.32023  -07.68695   22.313   0.008   20.917   0.006   22.358   0.012   21.569   0.013   21.215   0.012    1.57    805  N    1  Simbad
A      95  151.26404  -07.77524   21.866   0.005   20.934   0.005   21.873   0.008   21.205   0.010   21.041   0.010    2.37    396  N    1  Simbad
A      96  151.32824  -07.70451   21.840   0.006   20.939   0.009   21.846   0.014   21.274   0.013   21.077   0.014    2.58    924  N    1  Simbad
A      97  151.30643  -07.71357   22.452   0.030   20.949   0.031   21.114   0.175   20.332   0.186   20.418   0.225  999.99  9999.  N    0  Simbad
A      98  151.32930  -07.69590   21.911   0.006   20.975   0.008   21.913   0.012   21.315   0.014   21.090   0.014    2.44    660  N    1  Simbad
A      99  151.29998  -07.75237   22.531   0.010   20.975   0.006   22.525   0.013   21.679   0.014   21.292   0.013    2.12    609  Y    1  Simbad
A     100  151.32168  -07.70400   21.941   0.010   20.987   0.014  999.999 999.999  999.999 999.999  999.999 999.999    0.94  9999.  N    0  Simbad
A     101  151.30278  -07.67432   22.042   0.006   20.997   0.006   22.036   0.009   21.369   0.011   21.178   0.010    1.98    859  N    1  Simbad
A     102  151.36416  -07.72114   21.873   0.006   21.002   0.006   21.838   0.008   21.285   0.010   21.111   0.010    2.56  9999.  Y    0  Simbad
A     103  151.35456  -07.71571   21.825   0.006   21.003   0.007   21.844   0.009   21.304   0.011   21.159   0.011    7.20   1056  N    1  Simbad
A     104  151.31244  -07.69549   21.908   0.006   21.004   0.007   21.840   0.010   21.285   0.013   21.110   0.013    2.37  9999.  N    0  Simbad
A     105  151.29923  -07.72550   22.465   0.039   21.007   0.036   21.112   0.247   20.343   0.251   20.343   0.254  999.99  9999.  N    0  Simbad
A     106  151.30674  -07.72592   22.327   0.023   21.024   0.027   21.527   0.202   20.726   0.203   20.708   0.211  999.99  9999.  N    0  Simbad
A     107  151.32333  -07.69882   21.949   0.007   21.046   0.010   21.957   0.023   21.377   0.024   21.198   0.024    3.24    661  N    0  Simbad
A     108  151.30290  -07.72955   22.022   0.011   21.057   0.016  999.999   0.485  999.999   1.460    2.667   0.406    2.46    649  N    1  Simbad
