# col1     col2    col3    col4    col5    col6   col7 col8 col9 col10 col11  col12 col13 col14 col15 col16
  137.8096 60.0386 6.48    173.68  257.76  1153.0 0.94 0.0  0.0  0.94  -7.08  0.0   0.0   0.0   3.0   65.0 
  137.7969 60.0337 25.64   195.32  289.89  1328.0 0.42 0.0  0.01 0.6   -4.43  0.0   0.0   0.0   3.0   66.0 
  137.7576 60.0107 112.65  260.52  386.65  1370.0 0.99 0.01 0.0  0.36  -4.74  0.0   0.0   0.0   3.0   67.0 
  137.7528 60.0296 45.44   273.49  405.89  1493.0 0.98 0.0  0.0  0.69  -5.64  0.0   0.0   0.0   3.0   68.0 
  137.7849 60.0487 -27.05  220.37  327.07  1185.0 0.96 0.0  0.0  0.4   -6.26  0.0   0.0   0.0   3.0   69.0 
  137.8832 60.0274 37.99   39.04   57.94   1521.0 0.9  0.0  0.0  0.64  -6.23  0.0   0.0   0.0   1.0   70.0 
  137.8686 60.0476 -32.95  69.95   103.82  1095.0 0.74 0.0  0.0  0.47  -7.48  0.0   0.0   0.0   2.0   71.0 
  137.9113 60.0493 -43.9   -6.14   -9.11   1414.0 0.91 0.01 0.0  0.78  -4.94  0.0   0.0   0.0   1.0   72.0 
  137.8859 60.0532 -54.98  40.18   59.64   1020.0 0.99 0.0  0.0  0.5   -10.22 0.0   0.0   0.0   1.0   73.0 
  137.8887 60.0217 57.71   27.92   41.43   1184.0 0.62 0.0  0.0  0.36  -5.69  0.0   0.0   0.0   1.0   74.0 
  137.8764 60.0197 66.29   49.39   73.3    1505.0 0.98 0.0  0.0  0.59  -5.71  0.0   0.0   0.0   2.0   75.0 
  137.8702 60.0328 20.01   63.71   94.55   1211.0 0.41 0.0  0.0  0.7   -5.36  0.0   0.0   0.0   2.0   76.0 
  137.9516 60.0561 -73.3   -76.82  -114.01 1035.0 0.99 0.0  0.0  0.35  -8.65  0.0   0.0   0.0   2.0   77.0 
  137.9458 60.0589 -82.5   -65.78  -97.63  1214.0 0.99 0.0  0.0  0.7   -5.52  0.0   0.0   0.0   2.0   78.0 
  137.9266 60.1673 -469.61 -5.95   -8.82   1334.0 1.0  0.0  0.0  0.55  -5.43  0.0   0.0   0.0   3.0   79.0 
